area,perimeter,aspect_ratio,rectangularity,circularity,mean_r,std_r,mean_g,std_g,mean_b,std_b,contrast,correlation,inverse_difference_moments,entropy,label
1720250,9106.249275747778,1.3212227876974467,0.8959635416666667,0.26068879307551907,233.04245572916668,64.06454580563185,240.57229583333333,42.35673735492568,230.72268645833333,70.4391528149149,12.639687874487993,0.99766576696766,0.9117375532590559,1.6886890534967252,1001.jpg
1817852,8129.452885529886,1.328055474100788,0.9467979166666667,0.3456573129169313,244.07354270833332,45.41488857159131,247.32990052083332,32.02406891894783,242.7243234375,49.84793018349638,8.137424082767671,0.9971911347495974,0.9448180858455832,1.1937952652276924,1002.jpg
1832310,7928.683332908185,1.345701373490282,0.954328125,0.3662744883723429,245.42013854166666,43.430021241810735,248.63625364583334,29.024985313415637,244.25805416666665,48.24848143902623,8.553729373141717,0.9966100152522094,0.959022707535522,0.8487580137747328,1003.jpg
1727712,8536.035713374682,1.3270775683311178,0.89985,0.29796741058959353,234.28798489583335,61.53222361775653,240.41682552083333,43.68529903523245,232.27293802083332,67.07582296320315,8.440064162194226,0.9984187675654408,0.9143311885159329,1.6739143876074514,1004.jpg
1689034,8731.78192539927,1.296673762942473,0.8797052083333333,0.27838286138587837,230.04993385416665,66.98220255571144,238.37361666666666,44.9298265952368,226.924,74.98924694470098,8.641447061774569,0.9985677237139677,0.8986438796688966,1.968081330185048,1005.jpg
1683581,9339.99357520006,1.3319956510691136,0.8768651041666666,0.2425217676223596,229.07255260416667,68.8646609842363,237.77704479166667,45.97835101227977,225.8285796875,77.07605661356382,14.561457094330924,0.9977080787111002,0.895653919074996,1.957150658459972,1006.jpg
1659091,9250.666627371731,1.3281489090408856,0.8641098958333333,0.2436318207781815,227.84248958333333,68.10505289662412,236.96634166666666,45.48393971859661,224.50305052083334,76.09266277502924,11.79534051232653,0.9981005317049468,0.884638910869112,2.126015067128016,1007.jpg
1673380,9394.797615707166,1.3243993803114782,0.8715520833333333,0.23824817373681875,228.46072604166667,68.67094621767781,236.32685572916665,48.49496215479304,225.72031302083334,75.3391722733899,13.627841063531559,0.9979453920391205,0.889017939306706,2.070195017802491,1008.jpg
1693359,8796.116015902537,1.2966163163087352,0.8819578125,0.2750280608146586,231.30553645833334,64.45463808283526,239.24450885416667,43.025443336174874,228.42507447916665,72.07946347550289,12.593482280342116,0.997736971705006,0.8966265943935614,1.8916947074164256,1009.jpg
1628372,8721.06933470831,1.2981088183630518,0.8481104166666666,0.26904443386060484,223.59767864583333,73.79517406397363,233.91803697916666,49.87510537040537,220.40760364583332,81.01973361341506,10.302964188201102,0.9985952184570414,0.8743764121679282,2.286608236146094,1010.jpg
